# source, executable, build_date-time, wall-clock, function, gnuc, elapsed, cores, itens
src/minas/minas.c,target/minas,Jul  3 2020 16:12:50,1593803579,MNS_minas_main,10.1.0,6.532403e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:29:17,1593818957,readModel,10.1.0,6.200000e-04,1,100
src/minas/minas.c,target/minas,Jul  3 2020 20:29:17,1593818959,readExamples,10.1.0,2.033168e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:29:17,1593818967,MNS_minas_main,10.1.0,7.212504e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:34:31,1593819271,readModel,10.1.0,6.300000e-04,1,100
src/minas/minas.c,target/minas,Jul  3 2020 20:34:31,1593819273,readExamples,10.1.0,2.017172e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:34:31,1593819280,MNS_minas_main,10.1.0,7.191850e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:48:07,1593820088,readModel,10.1.0,6.680000e-04,1,100
src/minas/minas.c,target/minas,Jul  3 2020 20:48:07,1593820090,readExamples,10.1.0,1.955484e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:48:07,1593820097,MNS_minas_main,10.1.0,7.003466e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:51:37,1593820297,readModel,10.1.0,7.200000e-04,1,100
src/minas/minas.c,target/minas,Jul  3 2020 20:51:37,1593820299,readExamples,10.1.0,1.955380e+00,1,653457
src/minas/minas.c,target/minas,Jul  3 2020 20:51:37,1593820306,MNS_minas_main,10.1.0,6.988180e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 14:34:28,1593970468,readModel,10.1.0,7.060000e-04,1,100
src/minas/minas.c,target/minas,Jul  5 2020 14:34:28,1593970470,readExamples,10.1.0,2.136100e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 14:34:28,1593970477,MNS_minas_main,10.1.0,6.947105e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 14:44:01,1593971041,readModel,10.1.0,6.560000e-04,1,100
src/minas/minas.c,target/minas,Jul  5 2020 14:44:01,1593971043,readExamples,10.1.0,2.030807e+00,1,653457
src/minas/minas.c,target/minas,Jul  5 2020 14:44:01,1593971050,MNS_minas_main,10.1.0,6.860665e+00,1,653457
